Stars,Review
1,"Boring. Terrible CGI, spinning camera during fight scenes which will make you dizzy and terrible jokes. Save yourself the pain and don't see it like I regretfully did."
1,"really didn't like a single thing about it, which is a shame because the cast is great. I felt like it had no cohesion and was just all over the place."
1,"Borat was a fluke, and Sacha Baron Cohen's brand of humor is only marginally better than Jason Friedberg and Aaron Seltzer. The simplicity of the plot would be acceptable if the jokes that populated the movie were in any way funny, but they're not. They're terrible jokes that are so broad, it's insulting to think that anyone with half a brain would find them funny. This is the type of movie that where the world would be a better place had the money spent on this movie been spent on giving bottled water to needy people. This will be the last Sacha Baron Cohen movie that I will see in a theater. He, like Adam Sandler, is cinematic poison, and it's not worth anyone's time and energy to go to a movie theater and experience 90 minutes of rectum and genital jokes."
1,"since 70% of all black children are fatherless i find this another black fallacy propaganda stunt foisted on the masses, for the sole reason of ignoring the facts of black life and culture."
1,"A self-indulgent (and interminable) failure that has perhaps the worst use of 3D I have ever seen (it simply has no sense of depth and makes the film too dark), while the dialogue is infantile and awful, the actors are all terrible (Muyock is easily the worst) and it feels almost impossible to care about such a detestable protagonist."
1,"The actors were brilliant and delivered brilliant performances in what I'm sorry to say, was a rather boring moment in movie history. Quite frankly, the story had no flow, was very predictable, but the lighting was good; sufficiently broody to qualify as a Blade Runner stepchild. ."
1,"Easily one of the worst so-called movies I've ever encountered. Less than five minutes into this travesty, after seeing cheesy production values, horrible dialogue, and wooden acting, we see the colonel meeting up with the other ""officer,"" This senior officer, looking like a town drunk (slovenly, unkempt long hair, and with juvenile dialogue), proceeds to address the other fellow as lieutenant as he stares at the guy's captain bars. Five minutes was all I could endure and do avoid this waste of time."
1,Another boring. amateurish movie.
1,"I saw the first one twice. I began watching the second one before switching it off half-way through, then building up the courage to finish it a few days later. I managed this stupid bungle of a film in one sitting. I got what I probably deserved - copious amounts of gore, an unfathomable story and some terrible, terrible acting. I was somewhat impressed with Dieter Laser's performance in the original film, but he is easily the most exasperating aspect of this one - he seems to have confused shouting and bawling at the top of his lungs with acting. What seems really saddest of all though is that he, his co-stars and director Tom Six - who makes the most self-aggrandising cameo in cinema history - seem to genuinely believe that they are making a seriously important work of art. In actual fact, Final Sequence is one of the most grotesque works of alleged art in recent memory."
1,"If I wanted to see a movie on making my own Delorean time-machine, I'd go to San Diego Comic Con. I wanted a ""making of"", and this was as far from it as you can get."
1,"Not good, not even close."
1,"A self-indulgent (and interminable) failure that has perhaps the worst use of 3D I have ever seen (it simply has no sense of depth and makes the film too dark), while the dialogue is infantile and awful, the actors are all terrible (Muyock is easily the worst) and it feels almost impossible to care about such a detestable protagonist."
1,"A very, very dull love story drama with an unlikeable lead actor. At least some of the hardcore scenes are decent but uh.. there's other places to go for that kinda stuff."
1,Thank you for the reminder of why I don't watch anything on CNN. What a moron narrator and a completely ignorant telling on so many levels.
1,I'm so disappointed in Tina and Amy's choice in choosing these roles! Way too old for the characters they played!
1,"This movie starts out pretty good, but even from the start, the relationship between Fanning's character and Gere's is strange. Gere's character acting is a bit over the top, even considering that the character is supposed to be very dramatic. After the tragedy, the relationships between the main characters is uncomfortable and 40 minutes into the movie, it devolves into an adult version of an after school special and I stopped caring about how it ended."
